iter	Passed	Remaining
0	0	927
1	1	907
2	2	945
3	3	915
4	4	880
5	5	845
6	5	822
7	6	804
8	9	1025
9	10	1034
10	11	1007
11	11	982
12	12	965
13	13	970
14	14	959
15	15	946
16	16	933
17	16	919
18	17	907
19	18	894
20	18	882
21	19	882
22	20	886
23	21	885
24	22	879
25	23	871
26	23	863
27	24	854
28	25	848
29	26	847
30	27	848
31	28	848
32	28	844
33	29	839
34	30	834
35	30	829
36	31	827
37	32	828
38	33	831
39	35	841
40	35	840
41	36	838
42	37	835
43	38	839
44	40	850
45	41	861
46	42	864
47	43	859
48	44	855
49	45	855
50	45	854
51	46	850
52	47	847
53	48	848
54	49	846
55	50	851
56	51	848
57	52	845
58	52	843
59	53	842
60	54	841
61	55	838
62	56	835
63	56	831
64	58	845
65	59	846
66	60	844
67	61	840
68	62	839
69	62	835
70	64	844
71	65	842
72	66	840
73	66	836
74	67	831
75	68	827
76	68	822
77	69	818
78	70	816
79	71	817
80	71	815
81	72	812
82	72	805
83	73	801
84	74	798
85	74	794
86	75	791
87	76	792
88	77	792
89	78	791
90	78	788
91	79	785
92	80	782
93	80	780
94	81	778
95	82	776
96	83	779
97	84	777
98	85	774
99	86	774
100	86	771
101	87	768
102	87	765
103	88	765
104	89	765
105	90	763
106	91	761
107	91	759
108	92	757
109	93	754
110	93	752
111	94	751
112	95	749
113	96	747
114	96	745
115	97	742
116	97	739
117	98	736
118	99	734
119	99	731
120	100	730
121	101	727
122	101	726
123	102	724
124	103	722
125	103	719
126	104	718
127	105	715
128	105	713
129	106	711
130	107	711
131	108	710
132	108	709
133	109	707
134	110	705
135	110	703
136	111	701
137	111	699
138	112	697
139	113	696
140	114	694
141	114	691
142	115	690
143	115	688
144	116	686
145	116	684
146	117	682
147	118	680
148	119	680
149	120	680
150	120	679
151	121	678
152	122	676
153	122	674
154	123	673
155	124	671
156	124	669
157	125	670
158	126	668
159	127	667
160	127	665
161	128	663
162	128	661
163	129	660
164	130	658
165	130	656
166	131	655
167	132	655
168	133	655
169	134	654
170	134	653
171	135	651
172	135	649
173	136	648
174	137	647
175	138	648
176	139	647
177	139	646
178	140	644
179	141	643
180	141	641
181	142	640
182	143	638
183	143	636
184	144	636
185	145	635
186	146	635
187	147	634
188	147	633
189	148	631
190	148	630
191	149	628
192	150	627
193	150	627
194	151	626
195	152	625
196	153	623
197	153	622
198	154	621
199	154	619
200	155	618
201	156	617
202	157	617
203	158	618
204	159	618
205	160	617
206	161	617
207	161	616
208	162	614
209	163	614
210	164	613
211	164	612
212	165	611
213	166	610
214	166	608
215	167	607
216	168	606
217	168	604
218	169	604
219	170	603
220	170	602
221	171	601
222	172	599
223	172	598
224	173	597
225	174	596
226	174	594
227	175	594
228	176	594
229	177	595
230	178	594
231	179	593
232	179	592
233	180	591
234	181	590
235	182	589
236	182	589
237	183	588
238	184	586
239	184	585
240	185	584
241	186	582
242	186	581
243	187	580
244	188	580
245	189	579
246	189	578
247	190	577
248	191	576
249	191	575
250	192	574
251	192	572
252	193	571
253	194	570
254	195	572
255	196	571
256	197	571
257	198	570
258	199	569
259	199	568
260	200	567
261	201	567
262	202	567
263	203	565
264	203	564
265	204	563
266	204	562
267	205	561
268	206	559
269	206	559
270	207	558
271	208	558
272	209	558
273	210	557
274	210	556
275	211	555
276	212	555
277	213	554
278	214	553
279	215	552
280	215	552
281	216	551
282	217	550
283	217	548
284	218	547
285	219	547
286	219	546
287	220	545
288	221	544
289	222	543
290	222	542
291	223	541
292	223	540
293	224	539
294	225	538
295	227	540
296	228	540
297	228	539
298	229	538
299	230	537
300	230	536
301	231	535
302	232	534
303	233	534
304	234	533
305	234	532
306	235	531
307	236	530
308	236	529
309	237	528
310	238	527
311	239	527
312	239	526
313	240	524
314	240	523
315	241	522
316	242	521
317	242	520
318	243	520
319	244	519
320	245	519
321	246	519
322	247	518
323	248	517
324	248	516
325	249	515
326	249	514
327	250	513
328	251	512
329	252	512
330	252	511
331	253	510
332	254	509
333	254	508
334	255	507
335	256	506
336	257	505
337	258	506
338	259	505
339	259	504
340	260	503
341	261	502
342	261	501
343	262	500
344	263	499
345	264	499
346	265	498
347	265	497
348	266	496
349	266	495
350	267	494
351	267	493
352	268	492
353	269	491
354	270	490
355	270	489
356	271	489
357	272	488
358	272	487
359	273	486
360	274	485
361	274	484
362	275	483
363	276	482
364	277	482
365	278	481
366	278	480
367	279	479
368	279	478
369	280	477
370	281	476
371	282	476
372	282	475
373	283	474
374	284	473
375	284	472
376	285	471
377	286	470
378	286	469
379	287	468
380	288	468
381	288	467
382	289	466
383	290	465
384	290	464
385	291	463
386	291	462
387	292	461
388	293	460
389	293	459
390	294	458
391	295	458
392	296	457
393	296	456
394	297	455
395	298	454
396	298	453
397	299	452
398	300	452
399	300	451
400	301	450
401	302	449
402	302	448
403	303	447
404	304	446
405	304	445
406	305	444
407	305	443
408	306	443
409	307	442
410	308	441
411	308	440
412	309	439
413	310	438
414	310	437
415	311	436
416	311	435
417	312	435
418	313	434
419	315	435
420	315	434
421	316	433
422	317	433
423	318	432
424	319	431
425	319	430
426	320	430
427	321	429
428	322	428
429	322	427
430	323	426
431	324	426
432	324	425
433	326	425
434	327	425
435	328	424
436	328	423
437	329	422
438	330	421
439	330	420
440	331	420
441	332	419
442	332	418
443	333	417
444	334	416
445	334	416
446	335	415
447	336	414
448	336	413
449	337	412
450	338	411
451	338	410
452	339	409
453	339	408
454	340	408
455	341	407
456	342	406
457	342	405
458	343	404
459	344	404
460	345	403
461	345	402
462	346	402
463	347	401
464	347	400
465	348	399
466	349	398
467	349	397
468	350	396
469	351	396
470	351	395
471	352	394
472	353	393
473	353	392
474	354	391
475	355	390
476	355	389
477	356	389
478	357	388
479	358	387
480	358	387
481	359	386
482	359	385
483	360	384
484	361	383
485	361	382
486	362	381
487	363	381
488	364	380
489	364	379
490	365	378
491	365	377
492	366	377
493	367	376
494	367	375
495	368	374
496	369	373
497	370	373
498	370	372
499	371	371
500	372	371
501	373	370
502	373	369
503	374	368
504	375	367
505	375	367
506	376	366
507	377	365
508	378	364
509	378	363
510	379	362
511	379	362
512	380	361
513	381	360
514	381	359
515	382	359
516	383	358
517	384	357
518	384	356
519	385	355
520	386	354
521	386	354
522	387	353
523	388	352
524	389	352
525	389	351
526	390	350
527	391	350
528	392	349
529	392	348
530	393	347
531	394	346
532	395	346
533	396	345
534	396	344
535	397	344
536	398	343
537	398	342
538	399	341
539	400	341
540	401	340
541	402	340
542	403	339
543	404	338
544	404	337
545	405	337
546	406	336
547	407	335
548	408	335
549	408	334
550	409	333
551	409	332
552	410	331
553	411	331
554	411	330
555	412	329
556	414	329
557	415	328
558	415	328
559	416	327
560	417	326
561	417	325
562	418	324
563	419	324
564	419	323
565	420	322
566	421	321
567	421	320
568	422	320
569	423	319
570	423	318
571	424	317
572	425	317
573	426	316
574	427	315
575	427	314
576	428	314
577	429	313
578	429	312
579	430	311
580	430	310
581	431	310
582	432	309
583	433	308
584	434	308
585	434	307
586	435	306
587	436	305
588	437	305
589	437	304
590	438	303
591	439	302
592	440	302
593	441	301
594	441	300
595	442	299
596	443	299
597	444	298
598	445	298
599	446	297
600	447	297
601	448	296
602	448	295
603	449	294
604	450	293
605	451	293
606	452	292
607	452	291
608	453	291
609	453	290
610	454	289
611	455	288
612	455	287
613	456	287
614	457	286
615	458	285
616	459	284
617	459	284
618	460	283
619	461	282
620	462	282
621	463	281
622	464	280
623	465	280
624	465	279
625	466	278
626	466	277
627	467	276
628	468	276
629	469	275
630	469	274
631	470	274
632	471	273
633	472	272
634	472	271
635	473	270
636	473	270
637	474	269
638	475	268
639	476	267
640	476	267
641	477	266
642	478	265
643	478	264
644	479	263
645	479	263
646	480	262
647	481	261
648	482	260
649	482	260
650	483	259
651	484	258
652	485	257
653	485	257
654	486	256
655	487	255
656	488	254
657	489	254
658	489	253
659	490	252
660	491	251
661	491	251
662	492	250
663	493	249
664	493	248
665	494	248
666	495	247
667	496	246
668	497	245
669	497	245
670	498	244
671	499	243
672	499	242
673	500	242
674	501	241
675	502	240
676	503	240
677	503	239
678	504	238
679	505	237
680	505	236
681	507	236
682	507	235
683	508	234
684	509	234
685	509	233
686	510	232
687	511	231
688	512	231
689	512	230
690	513	229
691	514	228
692	515	228
693	515	227
694	516	226
695	516	225
696	517	224
697	518	224
698	519	223
699	520	223
700	521	222
701	522	221
702	522	220
703	523	219
704	523	219
705	524	218
706	525	217
707	526	217
708	527	216
709	528	215
710	528	214
711	529	214
712	529	213
713	530	212
714	531	212
715	533	211
716	534	210
717	534	210
718	535	209
719	536	208
720	536	207
721	537	206
722	538	206
723	538	205
724	539	204
